"﻿SIGLA";"NOMBRE PROYECTO";"TIPO INNOVACION";"año";"conv";"SEMESTRE";"FRENTE";"multi";"CODIGO CURSO";"CURSO";"PROG CURSO";"DEPTO CURSO";"FAC CURSO";"CRN";"SECC";"PERIOD";"SUB PER";"FASE ACOMPAÑAMIENTO PED";"NOMBRE PROFESOR";"CORREO PROFESOR";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18397";"5";"201820";"8A";"IMPLEMENTACION";"Nombre profesor17231";"Login profesor17230";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18398";"7";"201820";"8A";"IMPLEMENTACION";"Nombre profesor1142";"Login profesor1141";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18399";"8";"201820";"8A";"IMPLEMENTACION";"Nombre profesor1142";"Login profesor1141";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18404";"9";"201820";"8B";"IMPLEMENTACION";"Nombre profesor1124";"Login profesor1123";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18390";"10";"201820";"8B";"IMPLEMENTACION";"Nombre profesor1159";"Login profesor1158";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18391";"11";"201820";"8B";"IMPLEMENTACION";"Nombre profesor17231";"Login profesor17230";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18392";"12";"201820";"8B";"IMPLEMENTACION";"Nombre profesor1142";"Login profesor1141";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18400";"13";"201820";"8B";"IMPLEMENTACION";"Nombre profesor17231";"Login profesor17230";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18401";"14";"201820";"8B";"IMPLEMENTACION";"Nombre profesor17207";"Login estudiante2574";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18402";"15";"201820";"8B";"IMPLEMENTACION";"Nombre profesor17204";"Login profesor17203";
"CTE-1173";"Proyecto Cte-1174";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1175";"Curso1172";"LENGUAS Y CULTURA";"LENGUAS Y CULTURA";"CIENCIAS SOCIALES";"CRN-18403";"17";"201820";"8B";"IMPLEMENTACION";"Nombre profesor1105";"Login profesor1104";
"CTE-1191";"Proyecto Cte-1192";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1193";"Curso1190";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18020";"1";"201810";"8A";"IMPLEMENTACION";"Nombre profesor1159";"Login profesor1158";
